5.952874670980183580e-02,1.550692041403895285e-03,-5.301286672595494076e-02,8.855325045722249599e-03,7.536213744116165847e-02,3.850811598044844020e-02,-3.412165487990424101e-02,-3.848352338966853914e-03,5.256843539083877470e-02,-7.046276117969205166e-02,-2.052349066007247425e-02,2.554393680835554889e-03,-2.768269955886051154e-02,8.636196948147108199e-02,4.744750548592273354e-02,-5.334525390254808014e-02,-5.196762568892392131e-03,7.683810994887138937e-03
6.317313368603921786e-02,1.941029589121533172e-03,-5.610260859432472658e-02,9.531466318342667055e-03,8.014795510793387701e-02,4.130574887422833186e-02,-3.649773023561242447e-02,-4.373683750809348458e-03,5.652338470591528052e-02,-7.570297541836679134e-02,-2.108810132580926644e-02,3.642613097372440246e-03,-2.955671010099890361e-02,9.288199892152405879e-02,5.144865172685974403e-02,-5.763107243647130895e-02,-5.595881803111098056e-03,8.305821281605816481e-03
6.500146974311993286e-02,2.384244055239362337e-03,-5.765603966619294724e-02,1.027250664424986942e-02,8.163816960577793824e-02,4.394801458308061903e-02,-3.797933148974019790e-02,-5.098467782259225034e-03,5.970599741282406336e-02,-8.148769606282812994e-02,-2.116722440393917215e-02,5.306429112534104091e-03,-3.131357188526217444e-02,9.934062957221630186e-02,5.593679924006104281e-02,-6.208492936643632970e-02,-6.078196377404314517e-03,8.993945324040804323e-03
6.704761770314876523e-02,3.032757702064729777e-03,-5.885505398270829414e-02,1.022224127680749009e-02,8.413273306558244347e-02,4.745822199097637917e-02,-3.946279619832147867e-02,-5.595285807018179902e-03,6.290671646186477006e-02,-8.667250514184818289e-02,-2.109708362051684882e-02,6.735817524839084365e-03,-3.303397622115953475e-02,1.058868789055644605e-01,6.035914934882210398e-02,-6.652831614561319218e-02,-6.523373029527813199e-03,9.689510913429290676e-03
6.922627517372914596e-02,3.801612943999277405e-03,-6.047300562604930596e-02,1.061603628056387305e-02,8.950622643738703754e-02,5.074630323745398658e-02,-4.139141945044114146e-02,-5.812196049977569334e-03,6.658957853897369550e-02,-9.157605333286696070e-02,-2.139208368865149271e-02,7.687839632232227639e-03,-3.483187077813698629e-02,1.125012611988991801e-01,6.449238479244888411e-02,-7.088754326790022708e-02,-6.921820791228150242e-03,1.034599756123585901e-02
6.901796606058846484e-02,4.639211585654778869e-03,-6.047696351980552665e-02,1.101223603298356890e-02,9.124287230939873150e-02,5.334048447667279202e-02,-4.258620863987028216e-02,-6.588414793639565427e-03,6.970376159554889095e-02,-9.713263128393111179e-02,-2.129861269988718095e-02,9.416927193663621881e-03,-3.655188977720787852e-02,1.188771503111987898e-01,6.919679088832700331e-02,-7.544470108679866838e-02,-7.321785603350209129e-03,1.107595783559922609e-02
6.663298207391812888e-02,6.174570921803290702e-03,-5.829549040503897300e-02,1.050378633710512266e-02,9.030082080979361103e-02,5.506071675578408375e-02,-4.235774242182321903e-02,-7.647488079800963609e-03,7.105129675817022095e-02,-1.026655586667069298e-01,-2.074802285680968708e-02,1.136371866421531998e-02,-3.829999606256243722e-02,1.254672313748173840e-01,7.441696086243096420e-02,-8.024930586571121793e-02,-7.691991275239753317e-03,1.185858367911933955e-02
6.052779720540102382e-02,7.653548956474853782e-03,-5.517875251285281335e-02,9.576976177514073818e-03,8.503264042737052053e-02,5.553984722031361787e-02,-4.124684851261165019e-02,-8.551160622017077093e-03,7.195286958555711931e-02,-1.076197398040237146e-01,-1.978117600784963515e-02,1.290346458725910063e-02,-4.017636280631609741e-02,1.320323355709102642e-01,8.006355242637409886e-02,-8.536632937339339033e-02,-8.141768910486275532e-03,1.273666528790651231e-02
4.968060669576356003e-02,9.233910340755796531e-03,-4.798232058972554115e-02,8.413750637123573739e-03,7.461302466815736278e-02,5.333051749517050272e-02,-3.852658761078624206e-02,-9.096357407973711465e-03,7.146170609373732330e-02,-1.116619504223603510e-01,-1.866167269444427013e-02,1.416866528106844672e-02,-4.236770316473435771e-02,1.380042791977048322e-01,8.644595764667907523e-02,-9.115549131279818140e-02,-8.505729183942267735e-03,1.376601809552908777e-02
3.460727791781509355e-02,1.154170611688976056e-02,-3.816330574921644736e-02,7.096103421028981950e-03,6.028661890998666950e-02,4.857091612996794483e-02,-3.462879628200683096e-02,-9.749356731624444009e-03,7.064067799784320978e-02,-1.142597185269184357e-01,-1.660442744693110470e-02,1.593312090370770789e-02,-4.432413734649182091e-02,1.435297075848359638e-01,9.343424854096947507e-02,-9.719485600434178696e-02,-8.894822865181353788e-03,1.487474357109375145e-02
1.584477712971794905e-02,1.384537746418618154e-02,-2.496776384632259926e-02,4.769232163600256591e-03,4.410289611418802963e-02,4.250337850509212229e-02,-3.009600584174184842e-02,-1.039433745962472892e-02,6.925492505357801198e-02,-1.151543174749366377e-01,-1.360262230755208274e-02,1.742097780966841980e-02,-4.626190146084383642e-02,1.484702105550755880e-01,1.008902612614991090e-01,-1.035225312099332939e-01,-9.209251444850201709e-03,1.601843488692182918e-02
-2.381023035259473633e-03,1.648673119972163259e-02,-8.535169577462919932e-03,2.384076062200472801e-03,2.615564883159036264e-02,3.576181747035345887e-02,-2.486497109572466044e-02,-1.079235033499919942e-02,6.723736413235416320e-02,-1.150594924736514785e-01,-9.856234297636630795e-03,1.892250846515142540e-02,-4.809040670847049281e-02,1.532059277007881137e-01,1.085810030001313903e-01,-1.098844891317815320e-01,-9.463502374948791138e-03,1.713964170094222847e-02
